,schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,total,oudiff,oudiff_abs,spread_dist,dates,dateofgame,dayofweek,total_upper2,total_lower2,ouopp_o2,ouopp_u2,tie_ou,tie_ou2,result_total_plus_minus_two,under,over,over_under_tie_credit,under_result,over_result,to_spread,usd,cred,result,away_dogs_,away_dogs
3,9/12/1999,1999,1,GB,OAK,GB,-9.0,43.0,,61.0,9.0,84.0,28.0,24.0,False,False,52.0,9.0,9.0,-5.0,9/12/1999,9/12/1999,6,45.0,41.0,100,-150,0,0,-50,-110,100,0,-110,100,-5.0,100,0,100,-110,-110
5,9/12/1999,1999,1,JAX,SF,JAX,-5.5,49.0,,80.0,12.0,81.0,41.0,3.0,False,False,44.0,-5.0,5.0,32.5,9/12/1999,9/12/1999,6,51.0,47.0,-150,100,0,0,-50,100,-110,0,100,-110,32.5,-110,0,-110,100,100
6,9/12/1999,1999,1,NO,CAR,NO,-3.5,38.0,DOME,72.0,0.0,,19.0,10.0,False,False,29.0,-9.0,9.0,5.5,9/12/1999,9/12/1999,6,40.0,36.0,-150,100,0,0,-50,100,-110,0,100,-110,5.5,-110,0,-110,100,100
7,9/12/1999,1999,1,NYJ,NE,NYJ,-7.0,44.5,,73.0,8.0,50.0,28.0,30.0,False,False,58.0,13.5,13.5,-5.0,9/12/1999,9/12/1999,6,46.5,42.5,100,-150,0,0,-50,-110,100,0,-110,100,-9.0,100,0,100,-110,-110
9,9/12/1999,1999,1,SEA,DET,SEA,-9.5,42.0,DOME,72.0,0.0,,20.0,28.0,False,False,48.0,6.0,6.0,-1.5,9/12/1999,9/12/1999,6,44.0,40.0,100,-150,0,0,-50,-110,100,0,-110,100,-17.5,100,0,100,-110,-110
10,9/12/1999,1999,1,TB,NYG,TB,-5.5,37.5,,81.0,7.0,82.0,13.0,17.0,False,False,30.0,-7.5,7.5,-1.5,9/12/1999,9/12/1999,6,39.5,35.5,-150,100,0,0,-50,100,-110,0,100,-110,-9.5,100,0,100,-110,-110
11,9/12/1999,1999,1,TEN,CIN,TEN,-9.0,42.0,,79.0,7.0,46.0,36.0,35.0,False,False,71.0,29.0,29.0,-8.0,9/12/1999,9/12/1999,6,44.0,40.0,100,-150,0,0,-50,-110,100,0,-110,100,-8.0,100,0,100,-110,-110
12,9/12/1999,1999,1,WAS,DAL,WAS,-2.5,42.0,,71.0,5.0,59.0,35.0,41.0,False,False,76.0,34.0,34.0,3.5,9/12/1999,9/12/1999,6,44.0,40.0,100,-150,0,0,-50,-110,100,0,-110,100,-8.5,100,0,100,-110,-110
13,9/13/1999,1999,1,DEN,MIA,DEN,-6.0,43.0,,50.0,7.0,65.0,21.0,38.0,False,False,59.0,16.0,16.0,11.0,9/13/1999,9/13/1999,0,45.0,41.0,100,-150,0,0,-50,-110,100,0,-110,100,-23.0,100,0,100,-110,-110
15,9/19/1999,1999,2,BUF,NYJ,BUF,-4.0,42.0,,62.0,5.0,63.0,17.0,3.0,False,False,20.0,-22.0,22.0,10.0,9/19/1999,9/19/1999,6,44.0,40.0,-150,100,0,0,-50,100,-110,0,100,-110,10.0,-110,0,-110,100,100
