,Unnamed: 0,schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,total,oudiff,oudiff_abs,spread_dist,dates,dateofgame,dayofweek,total_upper2,total_lower2,ouopp_o2,ouopp_u2,tie_ou,tie_ou2,result_total_plus_minus_two
0,0,9/12/1999,1999,1,ATL,MIN,MIN,-4.0,49.0,DOME,72.0,0.0,,14.0,17.0,False,False,31.0,-18.0,18.0,1.0,1999-09-12,9/12/1999,6,51.0,47.0,-150,100,0,0,-50
1,1,9/12/1999,1999,1,CHI,KC,KC,-3.0,38.0,,68.0,10.0,69.0,20.0,17.0,False,False,37.0,-1.0,1.0,0.0,1999-09-12,9/12/1999,6,40.0,36.0,100,100,0,0,200
2,2,9/12/1999,1999,1,CLE,PIT,PIT,-6.0,37.0,,70.0,10.0,54.0,0.0,43.0,False,False,43.0,6.0,6.0,-37.0,1999-09-12,9/12/1999,6,39.0,35.0,100,-150,0,0,-50
3,3,9/12/1999,1999,1,GB,OAK,GB,-9.0,43.0,,61.0,9.0,84.0,28.0,24.0,False,False,52.0,9.0,9.0,-5.0,1999-09-12,9/12/1999,6,45.0,41.0,100,-150,0,0,-50
4,4,9/12/1999,1999,1,IND,BUF,BUF,-3.0,45.5,DOME,72.0,0.0,,31.0,14.0,False,False,45.0,-0.5,0.5,-14.0,1999-09-12,9/12/1999,6,47.5,43.5,100,100,0,0,200
5,5,9/12/1999,1999,1,JAX,SF,JAX,-5.5,49.0,,80.0,12.0,81.0,41.0,3.0,False,False,44.0,-5.0,5.0,32.5,1999-09-12,9/12/1999,6,51.0,47.0,-150,100,0,0,-50
6,6,9/12/1999,1999,1,NO,CAR,NO,-3.5,38.0,DOME,72.0,0.0,,19.0,10.0,False,False,29.0,-9.0,9.0,5.5,1999-09-12,9/12/1999,6,40.0,36.0,-150,100,0,0,-50
7,7,9/12/1999,1999,1,NYJ,NE,NYJ,-7.0,44.5,,73.0,8.0,50.0,28.0,30.0,False,False,58.0,13.5,13.5,-5.0,1999-09-12,9/12/1999,6,46.5,42.5,100,-150,0,0,-50
8,8,9/12/1999,1999,1,PHI,ARI,ARI,-3.0,37.0,,70.0,6.0,64.0,24.0,25.0,False,False,49.0,12.0,12.0,2.0,1999-09-12,9/12/1999,6,39.0,35.0,100,-150,0,0,-50
9,9,9/12/1999,1999,1,SEA,DET,SEA,-9.5,42.0,DOME,72.0,0.0,,20.0,28.0,False,False,48.0,6.0,6.0,-1.5,1999-09-12,9/12/1999,6,44.0,40.0,100,-150,0,0,-50
10,10,9/12/1999,1999,1,TB,NYG,TB,-5.5,37.5,,81.0,7.0,82.0,13.0,17.0,False,False,30.0,-7.5,7.5,-1.5,1999-09-12,9/12/1999,6,39.5,35.5,-150,100,0,0,-50
11,11,9/12/1999,1999,1,TEN,CIN,TEN,-9.0,42.0,,79.0,7.0,46.0,36.0,35.0,False,False,71.0,29.0,29.0,-8.0,1999-09-12,9/12/1999,6,44.0,40.0,100,-150,0,0,-50
12,12,9/12/1999,1999,1,WAS,DAL,WAS,-2.5,42.0,,71.0,5.0,59.0,35.0,41.0,False,False,76.0,34.0,34.0,3.5,1999-09-12,9/12/1999,6,44.0,40.0,100,-150,0,0,-50
13,13,9/13/1999,1999,1,DEN,MIA,DEN,-6.0,43.0,,50.0,7.0,65.0,21.0,38.0,False,False,59.0,16.0,16.0,11.0,1999-09-13,9/13/1999,0,45.0,41.0,100,-150,0,0,-50
14,14,9/19/1999,1999,2,BAL,PIT,PIT,-2.5,38.0,,62.0,4.0,74.0,20.0,23.0,False,False,43.0,5.0,5.0,-0.5,1999-09-19,9/19/1999,6,40.0,36.0,100,-150,0,0,-50
15,15,9/19/1999,1999,2,BUF,NYJ,BUF,-4.0,42.0,,62.0,5.0,63.0,17.0,3.0,False,False,20.0,-22.0,22.0,10.0,1999-09-19,9/19/1999,6,44.0,40.0,-150,100,0,0,-50
16,16,9/19/1999,1999,2,CAR,JAX,JAX,-9.5,44.0,,66.0,5.0,67.0,20.0,22.0,False,False,42.0,-2.0,2.0,7.5,1999-09-19,9/19/1999,6,46.0,42.0,-150,100,150,0,100
17,17,9/19/1999,1999,2,CHI,SEA,SEA,-3.5,39.0,,64.0,9.0,62.0,13.0,14.0,False,False,27.0,-12.0,12.0,2.5,1999-09-19,9/19/1999,6,41.0,37.0,-150,100,0,0,-50
18,18,9/19/1999,1999,2,CIN,,CIN,-1.0,40.5,,67.0,5.0,44.0,7.0,34.0,False,False,41.0,0.5,0.5,26.0,1999-09-19,9/19/1999,6,42.5,38.5,100,100,0,0,200
19,19,9/19/1999,1999,2,DET,GB,GB,-6.5,43.0,DOME,72.0,0.0,,23.0,15.0,False,False,38.0,-5.0,5.0,-1.5,1999-09-19,9/19/1999,6,45.0,41.0,-150,100,0,0,-50
20,20,9/19/1999,1999,2,KC,DEN,DEN,-3.5,40.5,,66.0,10.0,87.0,26.0,10.0,False,False,36.0,-4.5,4.5,-12.5,1999-09-19,9/19/1999,6,42.5,38.5,-150,100,0,0,-50
21,21,9/19/1999,1999,2,MIA,ARI,MIA,-9.0,41.0,,79.0,9.0,86.0,19.0,16.0,False,False,35.0,-6.0,6.0,-6.0,1999-09-19,9/19/1999,6,43.0,39.0,-150,100,0,0,-50
22,22,9/19/1999,1999,2,MIN,OAK,MIN,-11.0,47.5,DOME,72.0,0.0,,17.0,22.0,False,False,39.0,-8.5,8.5,-6.0,1999-09-19,9/19/1999,6,49.5,45.5,-150,100,0,0,-50
23,23,9/19/1999,1999,2,NE,IND,NE,-4.5,45.0,,60.0,9.0,65.0,31.0,28.0,False,False,59.0,14.0,14.0,-1.5,1999-09-19,9/19/1999,6,47.0,43.0,100,-150,0,0,-50
24,24,9/19/1999,1999,2,NYG,WAS,NYG,-2.5,41.0,,68.0,9.0,60.0,21.0,50.0,False,False,71.0,30.0,30.0,26.5,1999-09-19,9/19/1999,6,43.0,39.0,100,-150,0,0,-50
25,25,9/19/1999,1999,2,PHI,TB,TB,-6.5,36.5,,64.0,4.0,76.0,5.0,19.0,False,False,24.0,-12.5,12.5,-7.5,1999-09-19,9/19/1999,6,38.5,34.5,-150,100,0,0,-50
26,26,9/19/1999,1999,2,SF,NO,SF,-11.0,42.5,,61.0,9.0,74.0,28.0,21.0,False,False,49.0,6.5,6.5,-4.0,1999-09-19,9/19/1999,6,44.5,40.5,100,-150,0,0,-50
27,27,9/19/1999,1999,2,TEN,CLE,TEN,-16.0,40.0,,72.0,6.0,54.0,26.0,9.0,False,False,35.0,-5.0,5.0,1.0,1999-09-19,9/19/1999,6,42.0,38.0,-150,100,0,0,-50
28,28,9/20/1999,1999,2,DAL,ATL,DAL,-6.5,42.0,,83.0,11.0,46.0,24.0,7.0,False,False,31.0,-11.0,11.0,10.5,1999-09-20,9/20/1999,0,44.0,40.0,-150,100,0,0,-50
29,29,9/26/1999,1999,3,BAL,CLE,BAL,-12.0,36.5,,67.0,8.0,78.0,17.0,10.0,False,False,27.0,-9.5,9.5,-5.0,1999-09-26,9/26/1999,6,38.5,34.5,-150,100,0,0,-50
30,30,9/26/1999,1999,3,BUF,PHI,BUF,-11.5,38.0,,60.0,7.0,66.0,26.0,0.0,False,False,26.0,-12.0,12.0,14.5,1999-09-26,9/26/1999,6,40.0,36.0,-150,100,0,0,-50
31,31,9/26/1999,1999,3,CAR,CIN,CAR,-7.0,39.5,,70.0,6.0,80.0,27.0,3.0,False,False,30.0,-9.5,9.5,17.0,1999-09-26,9/26/1999,6,41.5,37.5,-150,100,0,0,-50
32,32,9/26/1999,1999,3,GB,MIN,PICK,0.0,47.5,,68.0,16.0,58.0,23.0,20.0,False,False,43.0,-4.5,4.5,-3.0,1999-09-26,9/26/1999,6,49.5,45.5,-150,100,0,0,-50
33,33,9/26/1999,1999,3,JAX,TEN,JAX,-9.5,45.0,,76.0,8.0,90.0,19.0,20.0,False,False,39.0,-6.0,6.0,-8.5,1999-09-26,9/26/1999,6,47.0,43.0,-150,100,0,0,-50
34,34,9/26/1999,1999,3,KC,DET,KC,-3.5,39.5,,68.0,11.0,75.0,31.0,21.0,False,False,52.0,12.5,12.5,6.5,1999-09-26,9/26/1999,6,41.5,37.5,100,-150,0,0,-50
35,35,9/26/1999,1999,3,NE,NYG,NE,-6.0,43.5,,58.0,10.0,73.0,16.0,14.0,False,False,30.0,-13.5,13.5,-4.0,1999-09-26,9/26/1999,6,45.5,41.5,-150,100,0,0,-50
36,36,9/26/1999,1999,3,NYJ,WAS,WAS,-1.0,43.5,,63.0,9.0,62.0,20.0,27.0,False,False,47.0,3.5,3.5,-6.0,1999-09-26,9/26/1999,6,45.5,41.5,100,-150,0,0,-50
37,37,9/26/1999,1999,3,OAK,CHI,OAK,-7.0,38.0,,69.0,9.0,54.0,24.0,17.0,False,False,41.0,3.0,3.0,0.0,1999-09-26,9/26/1999,6,40.0,36.0,100,-150,0,0,-50
38,38,9/26/1999,1999,3,PIT,SEA,PIT,-4.0,38.0,,64.0,6.0,56.0,10.0,29.0,False,False,39.0,1.0,1.0,15.0,1999-09-26,9/26/1999,6,40.0,36.0,100,100,0,0,200
39,39,9/26/1999,1999,3,TB,DEN,TB,-2.5,38.0,,78.0,7.0,90.0,13.0,10.0,False,False,23.0,-15.0,15.0,0.5,1999-09-26,9/26/1999,6,40.0,36.0,-150,100,0,0,-50
40,40,9/27/1999,1999,3,ARI,SF,SF,-2.5,45.5,,87.0,7.0,33.0,10.0,24.0,False,False,34.0,-11.5,11.5,-11.5,1999-09-27,9/27/1999,0,47.5,43.5,-150,100,0,0,-50
41,41,10/3/1999,1999,4,ATL,BAL,ATL,-2.5,36.5,DOME,72.0,0.0,,13.0,19.0,False,False,32.0,-4.5,4.5,3.5,1999-10-03,10/3/1999,6,38.5,34.5,-150,100,0,0,-50
42,42,10/3/1999,1999,4,CHI,NO,NO,-1.0,37.0,,44.0,8.0,81.0,14.0,10.0,False,False,24.0,-13.0,13.0,-3.0,1999-10-03,10/3/1999,6,39.0,35.0,-150,100,0,0,-50
43,43,10/3/1999,1999,4,CIN,,LAR,-3.5,44.0,,62.0,12.0,57.0,10.0,38.0,False,False,48.0,4.0,4.0,-24.5,1999-10-03,10/3/1999,6,46.0,42.0,100,-150,0,0,-50
44,44,10/3/1999,1999,4,CLE,NE,NE,-12.0,38.0,,56.0,14.0,68.0,7.0,19.0,False,False,26.0,-12.0,12.0,0.0,1999-10-03,10/3/1999,6,40.0,36.0,-150,100,0,0,-50
45,45,10/3/1999,1999,4,DAL,ARI,DAL,-7.0,42.5,,78.0,10.0,54.0,35.0,7.0,False,False,42.0,-0.5,0.5,21.0,1999-10-03,10/3/1999,6,44.5,40.5,100,100,0,0,200
46,46,10/3/1999,1999,4,DEN,NYJ,DEN,-5.5,40.0,,41.0,11.0,75.0,13.0,21.0,False,False,34.0,-6.0,6.0,2.5,1999-10-03,10/3/1999,6,42.0,38.0,-150,100,0,0,-50
47,47,10/3/1999,1999,4,MIN,TB,MIN,-7.0,40.5,DOME,72.0,0.0,,21.0,14.0,False,False,35.0,-5.5,5.5,0.0,1999-10-03,10/3/1999,6,42.5,38.5,-150,100,0,0,-50
48,48,10/3/1999,1999,4,NYG,PHI,NYG,-9.5,35.5,,67.0,12.0,71.0,16.0,15.0,False,False,31.0,-4.5,4.5,-8.5,1999-10-03,10/3/1999,6,37.5,33.5,-150,100,0,0,-50
49,49,10/3/1999,1999,4,PIT,JAX,JAX,-3.0,42.0,,60.0,9.0,66.0,3.0,17.0,False,False,20.0,-22.0,22.0,-11.0,1999-10-03,10/3/1999,6,44.0,40.0,-150,100,0,0,-50
50,50,10/3/1999,1999,4,SF,TEN,SF,-1.5,40.5,,60.0,9.0,78.0,24.0,22.0,False,False,46.0,5.5,5.5,0.5,1999-10-03,10/3/1999,6,42.5,38.5,100,-150,0,0,-50
51,51,10/3/1999,1999,4,SEA,OAK,SEA,-3.5,40.5,DOME,72.0,0.0,,22.0,21.0,False,False,43.0,2.5,2.5,-2.5,1999-10-03,10/3/1999,6,42.5,38.5,100,-150,0,0,-50
52,52,10/3/1999,1999,4,WAS,CAR,WAS,-8.5,45.5,,66.0,8.0,74.0,38.0,36.0,False,False,74.0,28.5,28.5,-6.5,1999-10-03,10/3/1999,6,47.5,43.5,100,-150,0,0,-50
