,schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,total,oudiff,oudiff_abs,spread_dist,dates,dateofgame,dayofweek,total_upper2,total_lower2,ouopp_o2,ouopp_u2,tie_ou,tie_ou2,result_total_plus_minus_two,to_spread,usd,cred,result,against_home_dogs,away_Favs
0,9/12/1999,1999,1,ATL,MIN,MIN,-4.0,49.0,DOME,72.0,0.0,,14.0,17.0,False,False,31.0,-18.0,18.0,1.0,9/12/1999,9/12/1999,6,51.0,47.0,-150,100,0,0,-50,-1.0,100,0,100,-110,-110
1,9/12/1999,1999,1,CHI,KC,KC,-3.0,38.0,,68.0,10.0,69.0,20.0,17.0,False,False,37.0,-1.0,1.0,0.0,9/12/1999,9/12/1999,6,40.0,36.0,100,100,0,0,200,-6.0,100,0,100,-110,-110
2,9/12/1999,1999,1,CLE,PIT,PIT,-6.0,37.0,,70.0,10.0,54.0,0.0,43.0,False,False,43.0,6.0,6.0,-37.0,9/12/1999,9/12/1999,6,39.0,35.0,100,-150,0,0,-50,37.0,-110,0,-110,100,100
4,9/12/1999,1999,1,IND,BUF,BUF,-3.0,45.5,DOME,72.0,0.0,,31.0,14.0,False,False,45.0,-0.5,0.5,-14.0,9/12/1999,9/12/1999,6,47.5,43.5,100,100,0,0,200,-20.0,100,0,100,-110,-110
8,9/12/1999,1999,1,PHI,ARI,ARI,-3.0,37.0,,70.0,6.0,64.0,24.0,25.0,False,False,49.0,12.0,12.0,2.0,9/12/1999,9/12/1999,6,39.0,35.0,100,-150,0,0,-50,-2.0,100,0,100,-110,-110
14,9/19/1999,1999,2,BAL,PIT,PIT,-2.5,38.0,,62.0,4.0,74.0,20.0,23.0,False,False,43.0,5.0,5.0,-0.5,9/19/1999,9/19/1999,6,40.0,36.0,100,-150,0,0,-50,0.5,-110,0,-110,100,100
16,9/19/1999,1999,2,CAR,JAX,JAX,-9.5,44.0,,66.0,5.0,67.0,20.0,22.0,False,False,42.0,-2.0,2.0,7.5,9/19/1999,9/19/1999,6,46.0,42.0,-150,100,150,0,100,-7.5,100,0,100,-110,-110
17,9/19/1999,1999,2,CHI,SEA,SEA,-3.5,39.0,,64.0,9.0,62.0,13.0,14.0,False,False,27.0,-12.0,12.0,2.5,9/19/1999,9/19/1999,6,41.0,37.0,-150,100,0,0,-50,-2.5,100,0,100,-110,-110
19,9/19/1999,1999,2,DET,GB,GB,-6.5,43.0,DOME,72.0,0.0,,23.0,15.0,False,False,38.0,-5.0,5.0,-1.5,9/19/1999,9/19/1999,6,45.0,41.0,-150,100,0,0,-50,-14.5,100,0,100,-110,-110
20,9/19/1999,1999,2,KC,DEN,DEN,-3.5,40.5,,66.0,10.0,87.0,26.0,10.0,False,False,36.0,-4.5,4.5,-12.5,9/19/1999,9/19/1999,6,42.5,38.5,-150,100,0,0,-50,-19.5,100,0,100,-110,-110
25,9/19/1999,1999,2,PHI,TB,TB,-6.5,36.5,,64.0,4.0,76.0,5.0,19.0,False,False,24.0,-12.5,12.5,-7.5,9/19/1999,9/19/1999,6,38.5,34.5,-150,100,0,0,-50,7.5,-110,0,-110,100,100
32,9/26/1999,1999,3,GB,MIN,PICK,0.0,47.5,,68.0,16.0,58.0,23.0,20.0,False,False,43.0,-4.5,4.5,-3.0,9/26/1999,9/26/1999,6,49.5,45.5,-150,100,0,0,-50,-3.0,100,0,100,-110,-110
36,9/26/1999,1999,3,NYJ,WAS,WAS,-1.0,43.5,,63.0,9.0,62.0,20.0,27.0,False,False,47.0,3.5,3.5,-6.0,9/26/1999,9/26/1999,6,45.5,41.5,100,-150,0,0,-50,6.0,-110,0,-110,100,100
40,9/27/1999,1999,3,ARI,SF,SF,-2.5,45.5,,87.0,7.0,33.0,10.0,24.0,False,False,34.0,-11.5,11.5,-11.5,9/27/1999,9/27/1999,0,47.5,43.5,-150,100,0,0,-50,11.5,-110,0,-110,100,100
42,10/3/1999,1999,4,CHI,NO,NO,-1.0,37.0,,44.0,8.0,81.0,14.0,10.0,False,False,24.0,-13.0,13.0,-3.0,10/3/1999,10/3/1999,6,39.0,35.0,-150,100,0,0,-50,-5.0,100,0,100,-110,-110
43,10/3/1999,1999,4,CIN,,LAR,-3.5,44.0,,62.0,12.0,57.0,10.0,38.0,False,False,48.0,4.0,4.0,-24.5,10/3/1999,10/3/1999,6,46.0,42.0,100,-150,0,0,-50,24.5,-110,0,-110,100,100
44,10/3/1999,1999,4,CLE,NE,NE,-12.0,38.0,,56.0,14.0,68.0,7.0,19.0,False,False,26.0,-12.0,12.0,0.0,10/3/1999,10/3/1999,6,40.0,36.0,-150,100,0,0,-50,0.0,-110,110,0,-110,0
49,10/3/1999,1999,4,PIT,JAX,JAX,-3.0,42.0,,60.0,9.0,66.0,3.0,17.0,False,False,20.0,-22.0,22.0,-11.0,10/3/1999,10/3/1999,6,44.0,40.0,-150,100,0,0,-50,11.0,-110,0,-110,100,100
56,10/10/1999,1999,5,CLE,CIN,CIN,-3.0,36.0,,62.0,6.0,94.0,17.0,18.0,False,False,35.0,-1.0,1.0,2.0,10/10/1999,10/10/1999,6,38.0,34.0,100,100,0,0,200,-2.0,100,0,100,-110,-110
